weather_id,airport_code,weather_date,weather_condition,temperature_c,visibility_km,wind_speed_kmh,delay_risk
1,DXB,2025-01-01,Clear,43.5,8.8,14,Low
2,DXB,2025-01-02,Hot,44.4,9.4,5,Low
3,DXB,2025-01-03,Dust Storm,45.3,2.1,49,High
4,DXB,2025-01-04,Hot,35.7,9.2,16,Low
5,DXB,2025-01-05,Dust Storm,29.5,4.5,51,High
6,DXB,2025-01-06,Dust Storm,41.5,3.3,68,High
7,DXB,2025-01-07,Dust Storm,39.8,3.1,52,High
8,DXB,2025-01-08,Dust Storm,26.9,3.6,38,High
9,DXB,2025-01-09,Clear,44.7,9.6,17,Low
10,DXB,2025-01-10,Clear,38.7,8.2,14,Low
11,DXB,2025-01-11,Dust Storm,29.7,4.1,66,High
12,DXB,2025-01-12,Dust Storm,34.0,2.9,54,High
13,DXB,2025-01-13,Hot,38.4,8.8,20,Low
14,DXB,2025-01-14,Sunny,37.3,9.7,20,Low
15,DXB,2025-01-15,Hot,47.3,8.5,18,Low
16,DXB,2025-01-16,Sunny,47.7,9.1,19,Low
17,DXB,2025-01-17,Hot,27.6,9.6,15,Low
18,DXB,2025-01-18,Dust Storm,46.9,4.3,48,High
19,DXB,2025-01-19,Hot,26.3,8.1,8,Low
20,DXB,2025-01-20,Sunny,38.5,9.8,10,Low
21,DXB,2025-01-21,Dust Storm,39.1,3.5,56,High
22,DXB,2025-01-22,Dust Storm,28.7,4.1,62,High
23,DXB,2025-01-23,Clear,29.9,9.6,10,Low
24,DXB,2025-01-24,Dust Storm,46.2,4.9,42,High
25,DXB,2025-01-25,Sunny,38.0,9.6,10,Low
26,DXB,2025-01-26,Hot,29.4,9.2,7,Low
27,DXB,2025-01-27,Clear,45.4,8.1,20,Low
28,DXB,2025-01-28,Dust Storm,28.6,2.8,53,High
29,DXB,2025-01-29,Dust Storm,38.5,3.6,59,High
30,DXB,2025-01-30,Sunny,26.7,9.2,11,Low
31,DXB,2025-01-31,Hot,40.8,8.6,17,Low
32,DXB,2025-02-01,Hot,33.9,9.0,8,Low
33,DXB,2025-02-02,Hot,26.0,8.9,17,Low
34,DXB,2025-02-03,Hot,46.0,9.1,11,Low
35,DXB,2025-02-04,Sunny,25.7,8.7,20,Low
36,DXB,2025-02-05,Dust Storm,37.3,4.2,69,High
37,DXB,2025-02-06,Clear,28.5,9.7,6,Low
38,DXB,2025-02-07,Sunny,42.7,9.9,16,Low
39,DXB,2025-02-08,Dust Storm,39.9,2.2,37,High
40,DXB,2025-02-09,Hot,31.3,9.3,7,Low
41,DXB,2025-02-10,Sunny,29.9,8.6,9,Low
42,DXB,2025-02-11,Sunny,41.5,10.0,19,Low
43,DXB,2025-02-12,Clear,26.6,9.0,13,Low
44,DXB,2025-02-13,Dust Storm,34.6,5.0,31,High
45,DXB,2025-02-14,Sunny,43.4,9.2,9,Low
46,DXB,2025-02-15,Sunny,26.9,8.9,8,Low
47,DXB,2025-02-16,Clear,30.4,8.5,15,Low
48,DXB,2025-02-17,Clear,47.5,8.8,16,Low
49,DXB,2025-02-18,Sunny,42.2,9.3,8,Low
50,DXB,2025-02-19,Dust Storm,40.4,2.4,36,High
51,DXB,2025-02-20,Clear,34.7,8.8,10,Low
52,DXB,2025-02-21,Clear,42.5,8.3,6,Low
53,DXB,2025-02-22,Dust Storm,44.9,3.7,38,High
54,DXB,2025-02-23,Sunny,30.5,8.0,16,Low
55,DXB,2025-02-24,Sunny,45.1,9.9,12,Low
56,DXB,2025-02-25,Hot,36.2,8.4,14,Low
57,DXB,2025-02-26,Sunny,41.0,8.8,9,Low
58,DXB,2025-02-27,Hot,41.0,8.6,19,Low
59,DXB,2025-02-28,Hot,46.3,8.6,14,Low
60,DXB,2025-03-01,Sunny,40.4,8.9,16,Low
61,DXB,2025-03-02,Dust Storm,34.9,2.5,68,High
62,DXB,2025-03-03,Dust Storm,29.3,1.9,45,High
63,DXB,2025-03-04,Clear,39.3,8.0,20,Low
64,DXB,2025-03-05,Dust Storm,26.9,4.1,38,High
65,DXB,2025-03-06,Sunny,34.0,9.7,5,Low
66,DXB,2025-03-07,Dust Storm,28.5,3.7,32,High
67,DXB,2025-03-08,Hot,40.2,9.5,12,Low
68,DXB,2025-03-09,Clear,46.4,8.1,5,Low
69,DXB,2025-03-10,Hot,32.9,9.0,17,Low
70,DXB,2025-03-11,Dust Storm,44.3,3.4,35,High
71,DXB,2025-03-12,Clear,25.2,8.3,6,Low
72,DXB,2025-03-13,Sunny,47.1,8.7,6,Low
73,DXB,2025-03-14,Hot,28.7,8.5,7,Low
74,DXB,2025-03-15,Dust Storm,45.2,2.4,56,High
75,DXB,2025-03-16,Dust Storm,46.2,1.7,36,High
76,DXB,2025-03-17,Clear,36.7,9.8,5,Low
77,DXB,2025-03-18,Clear,47.1,9.0,8,Low
78,DXB,2025-03-19,Sunny,27.2,9.4,16,Low
79,DXB,2025-03-20,Clear,28.7,8.5,10,Low
80,DXB,2025-03-21,Hot,30.9,9.7,5,Low
81,DXB,2025-03-22,Dust Storm,34.9,4.6,35,High
82,DXB,2025-03-23,Hot,38.2,8.4,9,Low
83,DXB,2025-03-24,Clear,26.2,9.2,17,Low
84,DXB,2025-03-25,Hot,43.8,8.8,11,Low
85,DXB,2025-03-26,Clear,33.0,9.8,8,Low
86,DXB,2025-03-27,Hot,30.0,9.6,8,Low
87,DXB,2025-03-28,Dust Storm,28.9,2.4,33,High
88,DXB,2025-03-29,Hot,26.8,8.3,6,Low
89,DXB,2025-03-30,Dust Storm,27.6,4.8,62,High
90,DXB,2025-03-31,Sunny,37.1,9.8,11,Low
91,DXB,2025-04-01,Hot,30.2,9.0,14,Low
92,DXB,2025-04-02,Dust Storm,44.8,1.6,46,High
93,DXB,2025-04-03,Clear,45.8,9.8,16,Low
94,DXB,2025-04-04,Dust Storm,26.4,1.9,53,High
95,DXB,2025-04-05,Hot,38.4,8.6,5,Low
96,DXB,2025-04-06,Dust Storm,41.7,4.2,60,High
97,DXB,2025-04-07,Clear,38.8,9.4,18,Low
98,DXB,2025-04-08,Sunny,45.6,9.8,7,Low
99,DXB,2025-04-09,Dust Storm,28.3,1.3,44,High
100,DXB,2025-04-10,Dust Storm,26.2,3.8,34,High
101,DXB,2025-04-11,Dust Storm,36.3,2.5,60,High
102,DXB,2025-04-12,Clear,43.8,8.1,9,Low
103,DXB,2025-04-13,Hot,26.8,9.6,18,Low
104,DXB,2025-04-14,Clear,27.2,9.1,5,Low
105,DXB,2025-04-15,Clear,44.2,8.0,7,Low
106,DXB,2025-04-16,Hot,41.3,9.3,12,Low
107,DXB,2025-04-17,Hot,44.4,9.6,12,Low
108,DXB,2025-04-18,Sunny,40.6,9.4,10,Low
